VolcanoName	Activity_ID	VolcanoNumber	Morph Type 1	Morph Type 2	Morph Type 3	Morph Type 4	Morph Type 5	Morph Type 6	TectonicSetting	RockType	Country	ActivityType	StartDateYear	StartDateMonth	StartDateDay	EndDateYear	EndDateMonth	EndDateDay	DurationYears	ExplosivityIndexMax	ExplosivityIndexModifier	LatitudeDecimal	LongitudeDecimal	Elevation	Remarks
Taranaki [Egmont]	14453	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1500	0	0	NAN	NAN	NAN	NAN	NAN	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
Taranaki [Egmont]	14454	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1550	0	0	NAN	NAN	NAN	NAN	NAN	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
Taranaki [Egmont]	14455	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1560	0	0	NAN	NAN	NAN	NAN	NAN	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
Taranaki [Egmont]	14456	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1570	0	0	NAN	NAN	NAN	NAN	NAN	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
Taranaki [Egmont]	14457	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1590	0	0	NAN	NAN	NAN	NAN	NAN	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
Taranaki [Egmont]	14458	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1655	0	0	NAN	NAN	NAN	NAN	4	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
Taranaki [Egmont]	14318	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1700	0	0	NAN	NAN	NAN	NAN	NAN	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
Taranaki [Egmont]	13347	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1755	0	0	NAN	NAN	NAN	NAN	NAN	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
Taranaki [Egmont]	13348	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1800	0	0	NAN	NAN	NAN	NAN	NAN	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
Taranaki [Egmont]	14459	241030	Stratovolcano	Lava dome	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Andesite / Basaltic Andesite	New Zealand	Confirmed Eruption	1854	0	0	NAN	NAN	NAN	NAN	NAN	NAN	-39.300	174.070	2518	The nearly symmetrical, steep-sided cone of Taranaki (also known as Egmont), is New Zealand's largest andesitic stratovolcano. Taranaki is surrounded by a ring plain of debris-avalanche and lahar deposits that and extend to the coast. The isolated volcanic center is located on the west coast of central North Island at the southern end of a volcanic arc extending NW along the Northland Peninsula. Taranaki is the youngest and SE-most of a group of three volcanoes beginning with the Pleistocene Kaitoke Range. Fanthams Peak breaks the symmetry of Taranaki on its south flank, and four lava domes are located on the lower north and south flanks. Multiple episodes of edifice collapse have occurred in the past 50,000 years. Explosive activity, sometimes accompanied by pyroclastic flows and lava dome growth, has occurred frequently throughout the Holocene. Taranaki's latest eruption took place in 1854 CE.    
