VolcanoName	Activity_ID	VolcanoNumber	Morph Type 1	Morph Type 2	Morph Type 3	Morph Type 4	Morph Type 5	Morph Type 6	TectonicSetting	RockType	Country	ActivityType	StartDateYear	StartDateMonth	StartDateDay	EndDateYear	EndDateMonth	EndDateDay	DurationYears	ExplosivityIndexMax	ExplosivityIndexModifier	LatitudeDecimal	LongitudeDecimal	Elevation	Remarks
Ofu-Olosega	14804	244010	Shield	Caldera	Pyroclastic cone	NAN	NAN	NAN	Subduction zone / Oceanic crust (< 15 km)	Basalt / Picro-Basalt	United States	Confirmed Eruption	1866	9	12	1866	11	15	0	2	NAN	-14.175	-169.618	639	The two triangle-shaped islands of Ofu and Olosega in eastern Samoa, with a combined length of 6 km, are separated by a narrow strait.  The islands are formed by two eroded, coalescing basaltic shield volcanoes whose slopes dip to the east and west.  Steep cliffs up to 600-m high truncate the northern and southern sides of the islands.  The narrow, steep-sided ridge forming the eastern tip of Ofu Island consists of a dike complex.  The shield volcano on Ofu is cut on the north by the A'ofa caldera; bathymetry suggests that a caldera may also exist on the Sili shield volcano of Olosega.  The Nu'utele tuff cone, forming a small crescent-shaped island immediately off the west end of Ofu Island, is Holocene in age.  A submarine eruption took place in 1866 at the opposite end of the two islands, 3 km SE of Olosega, along the ridge connecting Olosega with Ta'u Island.
Manam	14892	251020	Stratovolcano	Pyroclastic cone	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Basalt / Picro-Basalt	Papua New Guinea	Confirmed Eruption	1616	7	6	NAN	NAN	NAN	NAN	2	?	-4.080	145.037	1807	The 10-km-wide island of Manam, lying 13 km off the northern coast of mainland Papua New Guinea, is one of the country's most active volcanoes. Four large radial valleys extend from the unvegetated summit of the conical 1807-m-high basaltic-andesitic stratovolcano to its lower flanks. These "avalanche valleys" channel lava flows and pyroclastic avalanches that have sometimes reached the coast. Five small satellitic centers are located near the island's shoreline on the northern, southern, and western sides. Two summit craters are present; both are active, although most historical eruptions have originated from the southern crater, concentrating eruptive products during much of the past century into the SE valley. Frequent historical eruptions, typically of mild-to-moderate scale, have been recorded since 1616. Occasional larger eruptions have produced pyroclastic flows and lava flows that reached flat-lying coastal areas and entered the sea, sometimes impacting populated areas.
Manam	14893	251020	Stratovolcano	Pyroclastic cone	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Basalt / Picro-Basalt	Papua New Guinea	Confirmed Eruption	1643	4	21	NAN	NAN	NAN	NAN	2	NAN	-4.080	145.037	1807	The 10-km-wide island of Manam, lying 13 km off the northern coast of mainland Papua New Guinea, is one of the country's most active volcanoes. Four large radial valleys extend from the unvegetated summit of the conical 1807-m-high basaltic-andesitic stratovolcano to its lower flanks. These "avalanche valleys" channel lava flows and pyroclastic avalanches that have sometimes reached the coast. Five small satellitic centers are located near the island's shoreline on the northern, southern, and western sides. Two summit craters are present; both are active, although most historical eruptions have originated from the southern crater, concentrating eruptive products during much of the past century into the SE valley. Frequent historical eruptions, typically of mild-to-moderate scale, have been recorded since 1616. Occasional larger eruptions have produced pyroclastic flows and lava flows that reached flat-lying coastal areas and entered the sea, sometimes impacting populated areas.
Manam	14894	251020	Stratovolcano	Pyroclastic cone	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Basalt / Picro-Basalt	Papua New Guinea	Confirmed Eruption	1700	4	2	NAN	NAN	NAN	NAN	NAN	NAN	-4.080	145.037	1807	The 10-km-wide island of Manam, lying 13 km off the northern coast of mainland Papua New Guinea, is one of the country's most active volcanoes. Four large radial valleys extend from the unvegetated summit of the conical 1807-m-high basaltic-andesitic stratovolcano to its lower flanks. These "avalanche valleys" channel lava flows and pyroclastic avalanches that have sometimes reached the coast. Five small satellitic centers are located near the island's shoreline on the northern, southern, and western sides. Two summit craters are present; both are active, although most historical eruptions have originated from the southern crater, concentrating eruptive products during much of the past century into the SE valley. Frequent historical eruptions, typically of mild-to-moderate scale, have been recorded since 1616. Occasional larger eruptions have produced pyroclastic flows and lava flows that reached flat-lying coastal areas and entered the sea, sometimes impacting populated areas.
Manam	14895	251020	Stratovolcano	Pyroclastic cone	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Basalt / Picro-Basalt	Papua New Guinea	Confirmed Eruption	1830	0	0	NAN	NAN	NAN	NAN	2	NAN	-4.080	145.037	1807	The 10-km-wide island of Manam, lying 13 km off the northern coast of mainland Papua New Guinea, is one of the country's most active volcanoes. Four large radial valleys extend from the unvegetated summit of the conical 1807-m-high basaltic-andesitic stratovolcano to its lower flanks. These "avalanche valleys" channel lava flows and pyroclastic avalanches that have sometimes reached the coast. Five small satellitic centers are located near the island's shoreline on the northern, southern, and western sides. Two summit craters are present; both are active, although most historical eruptions have originated from the southern crater, concentrating eruptive products during much of the past century into the SE valley. Frequent historical eruptions, typically of mild-to-moderate scale, have been recorded since 1616. Occasional larger eruptions have produced pyroclastic flows and lava flows that reached flat-lying coastal areas and entered the sea, sometimes impacting populated areas.
Manam	14896	251020	Stratovolcano	Pyroclastic cone	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Basalt / Picro-Basalt	Papua New Guinea	Confirmed Eruption	1877	10	29	1877	11	13	0	2	NAN	-4.080	145.037	1807	The 10-km-wide island of Manam, lying 13 km off the northern coast of mainland Papua New Guinea, is one of the country's most active volcanoes. Four large radial valleys extend from the unvegetated summit of the conical 1807-m-high basaltic-andesitic stratovolcano to its lower flanks. These "avalanche valleys" channel lava flows and pyroclastic avalanches that have sometimes reached the coast. Five small satellitic centers are located near the island's shoreline on the northern, southern, and western sides. Two summit craters are present; both are active, although most historical eruptions have originated from the southern crater, concentrating eruptive products during much of the past century into the SE valley. Frequent historical eruptions, typically of mild-to-moderate scale, have been recorded since 1616. Occasional larger eruptions have produced pyroclastic flows and lava flows that reached flat-lying coastal areas and entered the sea, sometimes impacting populated areas.
Manam	14898	251020	Stratovolcano	Pyroclastic cone	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Basalt / Picro-Basalt	Papua New Guinea	Confirmed Eruption	1885	5	0	NAN	NAN	NAN	NAN	NAN	NAN	-4.080	145.037	1807	The 10-km-wide island of Manam, lying 13 km off the northern coast of mainland Papua New Guinea, is one of the country's most active volcanoes. Four large radial valleys extend from the unvegetated summit of the conical 1807-m-high basaltic-andesitic stratovolcano to its lower flanks. These "avalanche valleys" channel lava flows and pyroclastic avalanches that have sometimes reached the coast. Five small satellitic centers are located near the island's shoreline on the northern, southern, and western sides. Two summit craters are present; both are active, although most historical eruptions have originated from the southern crater, concentrating eruptive products during much of the past century into the SE valley. Frequent historical eruptions, typically of mild-to-moderate scale, have been recorded since 1616. Occasional larger eruptions have produced pyroclastic flows and lava flows that reached flat-lying coastal areas and entered the sea, sometimes impacting populated areas.
Manam	14899	251020	Stratovolcano	Pyroclastic cone	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Basalt / Picro-Basalt	Papua New Guinea	Confirmed Eruption	1887	6	0	1895	0	0	8	2	NAN	-4.080	145.037	1807	The 10-km-wide island of Manam, lying 13 km off the northern coast of mainland Papua New Guinea, is one of the country's most active volcanoes. Four large radial valleys extend from the unvegetated summit of the conical 1807-m-high basaltic-andesitic stratovolcano to its lower flanks. These "avalanche valleys" channel lava flows and pyroclastic avalanches that have sometimes reached the coast. Five small satellitic centers are located near the island's shoreline on the northern, southern, and western sides. Two summit craters are present; both are active, although most historical eruptions have originated from the southern crater, concentrating eruptive products during much of the past century into the SE valley. Frequent historical eruptions, typically of mild-to-moderate scale, have been recorded since 1616. Occasional larger eruptions have produced pyroclastic flows and lava flows that reached flat-lying coastal areas and entered the sea, sometimes impacting populated areas.
Manam	14900	251020	Stratovolcano	Pyroclastic cone	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Basalt / Picro-Basalt	Papua New Guinea	Confirmed Eruption	1899	0	0	NAN	NAN	NAN	NAN	2	?	-4.080	145.037	1807	The 10-km-wide island of Manam, lying 13 km off the northern coast of mainland Papua New Guinea, is one of the country's most active volcanoes. Four large radial valleys extend from the unvegetated summit of the conical 1807-m-high basaltic-andesitic stratovolcano to its lower flanks. These "avalanche valleys" channel lava flows and pyroclastic avalanches that have sometimes reached the coast. Five small satellitic centers are located near the island's shoreline on the northern, southern, and western sides. Two summit craters are present; both are active, although most historical eruptions have originated from the southern crater, concentrating eruptive products during much of the past century into the SE valley. Frequent historical eruptions, typically of mild-to-moderate scale, have been recorded since 1616. Occasional larger eruptions have produced pyroclastic flows and lava flows that reached flat-lying coastal areas and entered the sea, sometimes impacting populated areas.
Manam	14902	251020	Stratovolcano	Pyroclastic cone	NAN	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Basalt / Picro-Basalt	Papua New Guinea	Confirmed Eruption	1904	4	30	NAN	NAN	NAN	NAN	NAN	NAN	-4.080	145.037	1807	The 10-km-wide island of Manam, lying 13 km off the northern coast of mainland Papua New Guinea, is one of the country's most active volcanoes. Four large radial valleys extend from the unvegetated summit of the conical 1807-m-high basaltic-andesitic stratovolcano to its lower flanks. These "avalanche valleys" channel lava flows and pyroclastic avalanches that have sometimes reached the coast. Five small satellitic centers are located near the island's shoreline on the northern, southern, and western sides. Two summit craters are present; both are active, although most historical eruptions have originated from the southern crater, concentrating eruptive products during much of the past century into the SE valley. Frequent historical eruptions, typically of mild-to-moderate scale, have been recorded since 1616. Occasional larger eruptions have produced pyroclastic flows and lava flows that reached flat-lying coastal areas and entered the sea, sometimes impacting populated areas.
