VolcanoName	Activity_ID	VolcanoNumber	Morph Type 1	Morph Type 2	Morph Type 3	Morph Type 4	Morph Type 5	Morph Type 6	TectonicSetting	RockType	Country	ActivityType	StartDateYear	StartDateMonth	StartDateDay	EndDateYear	EndDateMonth	EndDateDay	DurationYears	ExplosivityIndexMax	ExplosivityIndexModifier	LatitudeDecimal	LongitudeDecimal	Elevation	Remarks
Santorini	13884	212040	Shield	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1570	0	0	1573	0	0	3	3	NAN	36.404	25.396	367	Renowned Santorini (Thera), with its steep-walled caldera rim draped by whitewashed villages overlooking an active volcanic island in the center of a caldera bay, is one of the scenic highlights of the Aegean. The circular island group is composed of overlapping shield volcanoes cut by at least four partially overlapping calderas. The oldest southern caldera was formed about 180,000 years before present (BP), followed by the Skaros caldera about 70,000 years BP, and then the Cape Riva caldera about 21,000 years BP. The youngest caldera formed about 3600 years BP during the Late-Bronze-Age Minoan eruption  that forced abandonment of the thriving Aegean Sea island. Post-Minoan eruptions beginning in 197 BCE constructed a series of lava domes and flows that form two islands near the center of the caldera. A submarine eruption took place in 1650 AD outside the caldera NE of Thera. The latest eruption at Santorini produced a small lava dome and flow in 1950, accompanied by explosive activity.
Santorini	13885	212040	Shield	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1650	9	27	1650	12	6	0	4	?	36.404	25.396	367	Renowned Santorini (Thera), with its steep-walled caldera rim draped by whitewashed villages overlooking an active volcanic island in the center of a caldera bay, is one of the scenic highlights of the Aegean. The circular island group is composed of overlapping shield volcanoes cut by at least four partially overlapping calderas. The oldest southern caldera was formed about 180,000 years before present (BP), followed by the Skaros caldera about 70,000 years BP, and then the Cape Riva caldera about 21,000 years BP. The youngest caldera formed about 3600 years BP during the Late-Bronze-Age Minoan eruption  that forced abandonment of the thriving Aegean Sea island. Post-Minoan eruptions beginning in 197 BCE constructed a series of lava domes and flows that form two islands near the center of the caldera. A submarine eruption took place in 1650 AD outside the caldera NE of Thera. The latest eruption at Santorini produced a small lava dome and flow in 1950, accompanied by explosive activity.
Santorini	13886	212040	Shield	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1707	5	23	1711	9	14	4	3	NAN	36.404	25.396	367	Renowned Santorini (Thera), with its steep-walled caldera rim draped by whitewashed villages overlooking an active volcanic island in the center of a caldera bay, is one of the scenic highlights of the Aegean. The circular island group is composed of overlapping shield volcanoes cut by at least four partially overlapping calderas. The oldest southern caldera was formed about 180,000 years before present (BP), followed by the Skaros caldera about 70,000 years BP, and then the Cape Riva caldera about 21,000 years BP. The youngest caldera formed about 3600 years BP during the Late-Bronze-Age Minoan eruption  that forced abandonment of the thriving Aegean Sea island. Post-Minoan eruptions beginning in 197 BCE constructed a series of lava domes and flows that form two islands near the center of the caldera. A submarine eruption took place in 1650 AD outside the caldera NE of Thera. The latest eruption at Santorini produced a small lava dome and flow in 1950, accompanied by explosive activity.
Santorini	13887	212040	Shield	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1866	1	26	1870	10	15	4	2	NAN	36.404	25.396	367	Renowned Santorini (Thera), with its steep-walled caldera rim draped by whitewashed villages overlooking an active volcanic island in the center of a caldera bay, is one of the scenic highlights of the Aegean. The circular island group is composed of overlapping shield volcanoes cut by at least four partially overlapping calderas. The oldest southern caldera was formed about 180,000 years before present (BP), followed by the Skaros caldera about 70,000 years BP, and then the Cape Riva caldera about 21,000 years BP. The youngest caldera formed about 3600 years BP during the Late-Bronze-Age Minoan eruption  that forced abandonment of the thriving Aegean Sea island. Post-Minoan eruptions beginning in 197 BCE constructed a series of lava domes and flows that form two islands near the center of the caldera. A submarine eruption took place in 1650 AD outside the caldera NE of Thera. The latest eruption at Santorini produced a small lava dome and flow in 1950, accompanied by explosive activity.
Santorini	13888	212040	Shield	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1925	8	11	1926	5	0	1	2	NAN	36.404	25.396	367	Renowned Santorini (Thera), with its steep-walled caldera rim draped by whitewashed villages overlooking an active volcanic island in the center of a caldera bay, is one of the scenic highlights of the Aegean. The circular island group is composed of overlapping shield volcanoes cut by at least four partially overlapping calderas. The oldest southern caldera was formed about 180,000 years before present (BP), followed by the Skaros caldera about 70,000 years BP, and then the Cape Riva caldera about 21,000 years BP. The youngest caldera formed about 3600 years BP during the Late-Bronze-Age Minoan eruption  that forced abandonment of the thriving Aegean Sea island. Post-Minoan eruptions beginning in 197 BCE constructed a series of lava domes and flows that form two islands near the center of the caldera. A submarine eruption took place in 1650 AD outside the caldera NE of Thera. The latest eruption at Santorini produced a small lava dome and flow in 1950, accompanied by explosive activity.
Santorini	13889	212040	Shield	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1928	1	23	1928	3	17	0	2	NAN	36.404	25.396	367	Renowned Santorini (Thera), with its steep-walled caldera rim draped by whitewashed villages overlooking an active volcanic island in the center of a caldera bay, is one of the scenic highlights of the Aegean. The circular island group is composed of overlapping shield volcanoes cut by at least four partially overlapping calderas. The oldest southern caldera was formed about 180,000 years before present (BP), followed by the Skaros caldera about 70,000 years BP, and then the Cape Riva caldera about 21,000 years BP. The youngest caldera formed about 3600 years BP during the Late-Bronze-Age Minoan eruption  that forced abandonment of the thriving Aegean Sea island. Post-Minoan eruptions beginning in 197 BCE constructed a series of lava domes and flows that form two islands near the center of the caldera. A submarine eruption took place in 1650 AD outside the caldera NE of Thera. The latest eruption at Santorini produced a small lava dome and flow in 1950, accompanied by explosive activity.
Santorini	13891	212040	Shield	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1939	8	20	1941	7	2	2	2	NAN	36.404	25.396	367	Renowned Santorini (Thera), with its steep-walled caldera rim draped by whitewashed villages overlooking an active volcanic island in the center of a caldera bay, is one of the scenic highlights of the Aegean. The circular island group is composed of overlapping shield volcanoes cut by at least four partially overlapping calderas. The oldest southern caldera was formed about 180,000 years before present (BP), followed by the Skaros caldera about 70,000 years BP, and then the Cape Riva caldera about 21,000 years BP. The youngest caldera formed about 3600 years BP during the Late-Bronze-Age Minoan eruption  that forced abandonment of the thriving Aegean Sea island. Post-Minoan eruptions beginning in 197 BCE constructed a series of lava domes and flows that form two islands near the center of the caldera. A submarine eruption took place in 1650 AD outside the caldera NE of Thera. The latest eruption at Santorini produced a small lava dome and flow in 1950, accompanied by explosive activity.
Santorini	13892	212040	Shield	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1950	1	10	1950	2	2	0	2	NAN	36.404	25.396	367	Renowned Santorini (Thera), with its steep-walled caldera rim draped by whitewashed villages overlooking an active volcanic island in the center of a caldera bay, is one of the scenic highlights of the Aegean. The circular island group is composed of overlapping shield volcanoes cut by at least four partially overlapping calderas. The oldest southern caldera was formed about 180,000 years before present (BP), followed by the Skaros caldera about 70,000 years BP, and then the Cape Riva caldera about 21,000 years BP. The youngest caldera formed about 3600 years BP during the Late-Bronze-Age Minoan eruption  that forced abandonment of the thriving Aegean Sea island. Post-Minoan eruptions beginning in 197 BCE constructed a series of lava domes and flows that form two islands near the center of the caldera. A submarine eruption took place in 1650 AD outside the caldera NE of Thera. The latest eruption at Santorini produced a small lava dome and flow in 1950, accompanied by explosive activity.
Nisyros	13894	212050	Stratovolcano	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1871	0	0	NAN	NAN	NAN	NAN	2	NAN	36.586	27.160	698	The easternmost volcano of the Aegean arc forms the 9-km-wide island of Nisyros, which is truncated by a 3-4 km wide caldera.  The island was constructed during the past 150,000 years, with three cone-building stages including explosive and effusive andesitic eruptions and effusive and extrusive dacitic and rhyolitic activity.  The age of the caldera is variously considered to be <24,000 years before present (BP) (Keller et al., 1990) and >44,000 years BP (Limburg and Varekamp, 1991).  Five large post-caldera lava domes completely fill the western part of the caldera.  The NE-most (Boriatiko) and SW-most (Karaviotis) lava domes and flows are significantly younger than the other domes.  A sixth post-caldera dome, outside the SW caldera rim, produced lava flows that reached the coast.  Historical phreatic eruptions occurred from craters within the caldera between 1422 and 1888.  Intense hydrothermal activity continues in the form of many fumaroles on the caldera floor and hot springs along the coast.
Nisyros	13895	212050	Stratovolcano	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1873	6	0	1873	9	26	0	2	NAN	36.586	27.160	698	The easternmost volcano of the Aegean arc forms the 9-km-wide island of Nisyros, which is truncated by a 3-4 km wide caldera.  The island was constructed during the past 150,000 years, with three cone-building stages including explosive and effusive andesitic eruptions and effusive and extrusive dacitic and rhyolitic activity.  The age of the caldera is variously considered to be <24,000 years before present (BP) (Keller et al., 1990) and >44,000 years BP (Limburg and Varekamp, 1991).  Five large post-caldera lava domes completely fill the western part of the caldera.  The NE-most (Boriatiko) and SW-most (Karaviotis) lava domes and flows are significantly younger than the other domes.  A sixth post-caldera dome, outside the SW caldera rim, produced lava flows that reached the coast.  Historical phreatic eruptions occurred from craters within the caldera between 1422 and 1888.  Intense hydrothermal activity continues in the form of many fumaroles on the caldera floor and hot springs along the coast.
Nisyros	13896	212050	Stratovolcano	Caldera	Lava dome	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Dacite	Greece	Confirmed Eruption	1888	9	25	NAN	NAN	NAN	NAN	2	NAN	36.586	27.160	698	The easternmost volcano of the Aegean arc forms the 9-km-wide island of Nisyros, which is truncated by a 3-4 km wide caldera.  The island was constructed during the past 150,000 years, with three cone-building stages including explosive and effusive andesitic eruptions and effusive and extrusive dacitic and rhyolitic activity.  The age of the caldera is variously considered to be <24,000 years before present (BP) (Keller et al., 1990) and >44,000 years BP (Limburg and Varekamp, 1991).  Five large post-caldera lava domes completely fill the western part of the caldera.  The NE-most (Boriatiko) and SW-most (Karaviotis) lava domes and flows are significantly younger than the other domes.  A sixth post-caldera dome, outside the SW caldera rim, produced lava flows that reached the coast.  Historical phreatic eruptions occurred from craters within the caldera between 1422 and 1888.  Intense hydrothermal activity continues in the form of many fumaroles on the caldera floor and hot springs along the coast.
Okataina	14506	241050	Lava dome	Caldera	Fissure vent	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Rhyolite	New Zealand	Confirmed Eruption	1886	6	10	1886	8	0	0	5	NAN	-38.120	176.500	1111	The massive, dominantly rhyolitic Okataina Volcanic Centre is surrounded by extensive ignimbrite and pyroclastic sheets produced during multiple caldera-forming eruptions. Numerous lava domes and craters erupted from two subparallel NE-SW-trending vent lineations form the Haroharo and Tarawera volcanic complexes. Lava domes of the Haroharo complex, at the northern end of the Okataina Volcanic Centre, occupy part of the 16 x 26 km Pleistocene Haroharo caldera, which formed incrementally between 300,000 and 50,000 years before present (BP). The oldest exposed rocks on the caldera floor are about 22,000 years old. The Tarawera complex at the southern end of Okataina consists of 11 rhyolitic lava domes and associated lava flows. The oldest domes were formed as late as about 15,000 years BP, and the youngest were formed in the Kaharoa eruption about 800 years BP. The NE-SW Tarawera vent lineation extends from the two dacitic cones of Maungaongaonga and Mangakakaramea on the SW to Mount Edgecumbe on the NE.  Construction of the Haroharo and Tarawera complexes impounded lakes Rotoiti, Totoehu, Okataina, and Tarawera against the outer margins of the Okataina ring structure.  A major hydrothermal area is located at Waimangu; the world-renowned Pink and White Terrace siliceous sinter deposits were destroyed during the major basaltic explosive eruption of 1886.
Okataina	14507	241050	Lava dome	Caldera	Fissure vent	NAN	NAN	NAN	Subduction zone / Continental crust (> 25 km)	Rhyolite	New Zealand	Confirmed Eruption	1896	0	0	NAN	NAN	NAN	NAN	1	?	-38.120	176.500	1111	The massive, dominantly rhyolitic Okataina Volcanic Centre is surrounded by extensive ignimbrite and pyroclastic sheets produced during multiple caldera-forming eruptions. Numerous lava domes and craters erupted from two subparallel NE-SW-trending vent lineations form the Haroharo and Tarawera volcanic complexes. Lava domes of the Haroharo complex, at the northern end of the Okataina Volcanic Centre, occupy part of the 16 x 26 km Pleistocene Haroharo caldera, which formed incrementally between 300,000 and 50,000 years before present (BP). The oldest exposed rocks on the caldera floor are about 22,000 years old. The Tarawera complex at the southern end of Okataina consists of 11 rhyolitic lava domes and associated lava flows. The oldest domes were formed as late as about 15,000 years BP, and the youngest were formed in the Kaharoa eruption about 800 years BP. The NE-SW Tarawera vent lineation extends from the two dacitic cones of Maungaongaonga and Mangakakaramea on the SW to Mount Edgecumbe on the NE.  Construction of the Haroharo and Tarawera complexes impounded lakes Rotoiti, Totoehu, Okataina, and Tarawera against the outer margins of the Okataina ring structure.  A major hydrothermal area is located at Waimangu; the world-renowned Pink and White Terrace siliceous sinter deposits were destroyed during the major basaltic explosive eruption of 1886.
